chunk_size,questions_num,token_Size,total_chunks,success_count,fail_count,elapsed_time
128,2,128,20,5,15,01:30.1
128,2,256,20,9,11,02:12.3
128,2,512,20,17,3,03:10.7
128,2,1024,20,14,6,03:28.1
128,2,2048,20,15,5,08:12.7
256,2,128,20,6,14,01:26.8
256,2,256,20,13,7,02:10.4
256,2,512,20,13,7,03:11.2
256,2,1024,20,12,8,03:09.8
256,2,2048,20,14,6,05:28.8
512,2,128,9,2,7,00:37.5
512,2,256,9,4,5,00:57.3
512,2,512,9,6,3,01:02.6
512,2,1024,9,7,2,01:06.1
512,2,2048,9,8,1,00:52.8
1024,2,128,5,1,4,00:25.6
1024,2,256,5,4,1,00:31.4
1024,2,512,5,5,0,00:39.8
1024,2,1024,5,4,1,01:17.2
1024,2,2048,5,5,0,01:30.7
