title,description,keywords,timeEstimate,topic,difficulty,minLevel,riskTag,modType
Introduction to Stocks,This learning module provides you with an introduction to stocks and the stock market.,stock market,10,Stock,,,,slides
Introduction to Bonds,This learning module provides you with an introduction to bonds.,bonds investment introduction,10,Bond,,,,slides
Risk Free Investments,This learning module provides you with some helpful information about risk free investments,risk free investments,10,Risk Free Investments,,,,slides
What is stock screening?,This learning module provides you with an introduction to stock screening.,stock screening introduction,10,Stock Screening,,,,slides
Basics of Blockchain,This learning module provides you with an introduction to blockchain.,blockchain introduction,10,Blockchain,,,,slides
Blockchain (Intermediate),,,,,,2,,slides
Advanced Stocks,,,,,,3,,slides
Risk Free Investments ,,,,,,,,slides
A Beginner's Overview To Blockchain,,,,,,1,,slides
 Blockchain Advanced,,,,,,3,,slides
Intermediate Stocks,,,,,,2,,slides
Beginner Stocks,,,,,,1,,slides
