Filing Status,Income Range ($),Tax Bracket (B),Estimated Tax (T),Notes / Logic
Single,"0 – 11,600",10%,T = 0.10 × income,Base bracket for single filers
Single,"11,601 – 47,150",12%,"T = 1,160 + 0.12 × (income – 11,600)",Adds prior bracket tax; next marginal tier
Single,"47,151 – 100,525",22%,"T = 5,426 + 0.22 × (income – 47,150)",Mid-income bracket; cumulative calculation
Single,"100,526 – 191,950",24%,"T = 17,168.50 + 0.24 × (income – 100,525)",Higher middle-income tier
Single,"191,951 – 243,725",32%,"T = 39,110.50 + 0.32 × (income – 191,950)",Upper-middle range for single filers
Single,"243,726 – 609,350",35%,"T = 55,678.50 + 0.35 × (income – 243,725)",Near-top bracket; elevated income level
Single,"Over 609,350",37%,"T = 183,647.25 + 0.37 × (income – 609,350)",Top marginal rate; highest bracket
Married Filing Jointly (MFJ),"0 – 23,200",10%,T = 0.10 × income,Base bracket for MFJ filers
Married Filing Jointly (MFJ),"23,201 – 94,300",12%,"T = 2,320 + 0.12 × (income – 23,200)",Next marginal bracket; adds tax from prior bracket
Married Filing Jointly (MFJ),"94,301 – 201,050",22%,"T = 10,852 + 0.22 × (income – 94,300)",Mid-range bracket; includes accumulated prior tax
Married Filing Jointly (MFJ),"201,051 – 383,900",24%,"T = 34,337 + 0.24 × (income – 201,050)",Upper-middle bracket; applies higher marginal rate
Married Filing Jointly (MFJ),"383,901 – 487,450",32%,"T = 78,221 + 0.32 × (income – 383,900)",Higher income range; increased marginal rate
Married Filing Jointly (MFJ),"487,451 – 731,200",35%,"T = 111,357 + 0.35 × (income – 487,450)",Near-top bracket; includes prior tax accumulations
Married Filing Jointly (MFJ),"Over 731,200",37%,"T = 196,669.50 + 0.37 × (income – 731,200)",Top marginal rate; highest income level
Married Filing Separately (MFS),"0 – 11,600",10%,T = 0.10 × income,Base bracket for MFS filers
Married Filing Separately (MFS),"11,601 – 47,150",12%,"T = 1,160 + 0.12 × (income – 11,600)",Adds tax from prior bracket
Married Filing Separately (MFS),"47,151 – 100,525",22%,"T = 5,426 + 0.22 × (income – 47,150)",Mid-level bracket; cumulative from prior
Married Filing Separately (MFS),"100,526 – 191,950",24%,"T = 17,168.50 + 0.24 × (income – 100,525)",Higher marginal rate tier
Married Filing Separately (MFS),"191,951 – 243,725",32%,"T = 39,110.50 + 0.32 × (income – 191,950)",Upper-middle range for MFS
Married Filing Separately (MFS),"243,726 – 365,600",35%,"T = 55,678.50 + 0.35 × (income – 243,725)",Near-top income bracket
Married Filing Separately (MFS),"Over 365,600",37%,"T = 98,334.75 + 0.37 × (income – 365,600)",Top marginal rate; highest income level
Head of Household (HoH),"0 – 16,550",10%,T = 0.10 × income,Base bracket for HoH filers
Head of Household (HoH),"16,551 – 63,100",12%,"T = 1,655 + 0.12 × (income – 16,550)",Adds prior bracket tax; next marginal tier
Head of Household (HoH),"63,101 – 100,500",22%,"T = 7,241 + 0.22 × (income – 63,100)",Mid-range bracket; cumulative calculation
Head of Household (HoH),"100,501 – 191,950",24%,"T = 15,469 + 0.24 × (income – 100,500)",Higher middle-income tier
Head of Household (HoH),"191,951 – 243,700",32%,"T = 37,417 + 0.32 × (income – 191,950)",Upper-middle range for HoH
Head of Household (HoH),"243,701 – 609,350",35%,"T = 53,981 + 0.35 × (income – 243,700)",Near-top bracket; elevated income level
Head of Household (HoH),"Over 609,350",37%,"T = 180,766.50 + 0.37 × (income – 609,350)",Top marginal rate; highest bracket
Qualifying Widow(er) (QW),"0 – 23,200",10%,T = 0.10 × income,Base bracket for QW filers (same as MFJ)
Qualifying Widow(er) (QW),"23,201 – 94,300",12%,"T = 2,320 + 0.12 × (income – 23,200)",Adds prior bracket tax; next marginal tier
Qualifying Widow(er) (QW),"94,301 – 201,050",22%,"T = 10,852 + 0.22 × (income – 94,300)",Mid-income bracket; cumulative calculation
Qualifying Widow(er) (QW),"201,051 – 383,900",24%,"T = 34,337 + 0.24 × (income – 201,050)",Higher middle-income tier
Qualifying Widow(er) (QW),"383,901 – 487,450",32%,"T = 78,221 + 0.32 × (income – 383,900)",Upper-middle range for QW filers
Qualifying Widow(er) (QW),"487,451 – 731,200",35%,"T = 111,357 + 0.35 × (income – 487,450)",Near-top bracket; elevated income level
Qualifying Widow(er) (QW),"Over 731,200",37%,"T = 196,669.50 + 0.37 × (income – 731,200)",Top marginal rate; highest bracket
